Split group,Region label,Region name,hemisphere,acronyms,subcortex,RSN,BraakStage,"Subjects, n",Mean mask voxels in 64^3,Baseline AUC,Ablated AUC,Delta AUC,Baseline balanced accuracy,Ablated balanced accuracy,Delta balanced accuracy,Baseline accuracy,Ablated accuracy,Delta accuracy,Baseline F1,Ablated F1,Delta F1,Mean absolute probability change,Median absolute probability change,Mean signed probability change,"Prediction changed, n","Prediction changed, fraction",Mean AGFV L2 change,Mean AGFV absolute change,Mean top AGFV absolute delta,MNI.x,MNI.y,MNI.z,Region ablation score
Validation,85,Optic-Chiasm,,,,,,181,4.0,0.9307711258930772,0.9318797733431881,-0.0011086474501108556,0.8397388519339739,0.8397388519339739,0.0,0.8453038674033149,0.8453038674033149,0.0,0.8205128205128205,0.8205128205128205,0.0,0.0024341669278373705,3.2833777368068695e-06,0.0009362132092989281,0,0.0,0.04530328904739735,0.003270833489185364,0.010404709829480609,,,,0.004596352966911878
Test,85,Optic-Chiasm,,,,,,181,4.0,0.8814363143631436,0.8829761024882975,-0.0015397881251538736,0.8155333826065534,0.8155333826065534,0.0,0.8176795580110497,0.8176795580110497,0.0,0.7975460122699386,0.7975460122699386,0.0,0.0021101872395538823,4.589557647705078e-06,-0.0001433616869398573,2,0.011049723756906077,0.04972950687943263,0.003615066268898094,0.01125024246741395,,,,0.005290437758988711
Heldout,251,CC_Posterior,,,,,,362,17.0,0.9060267307218526,0.9064732692781473,-0.00044653855629472883,0.8276361172702636,0.8276361172702636,0.0,0.8314917127071824,0.8314917127071824,0.0,0.8087774294670846,0.8087774294670846,0.0,0.002555539772346698,7.5981952250003815e-06,-0.0012626130910826981,2,0.0055248618784530384,0.06416855032220663,0.004639631314045565,0.014535666366226106,,,,0.007301118717942838
Validation,251,CC_Posterior,,,,,,181,17.0,0.9307711258930772,0.9316334072431633,-0.000862281350086147,0.8397388519339739,0.8336412909583641,0.0060975609756097615,0.8453038674033149,0.8397790055248618,0.0055248618784530246,0.8205128205128205,0.8129032258064516,0.007609594706368905,0.0019007280998919879,6.979797035455704e-06,-0.0006220598025916361,1,0.0055248618784530384,0.06576484466262306,0.004761561601183465,0.014815927951375424,,,,0.01245005551444437
Test,251,CC_Posterior,,,,,,181,17.0,0.8814363143631436,0.8826065533382607,-0.0011702389751170328,0.8155333826065534,0.8216309435821632,-0.0060975609756097615,0.8176795580110497,0.8232044198895028,-0.0055248618784530246,0.7975460122699386,0.8048780487804879,-0.007332036510549256,0.003210351444801408,9.36770811676979e-06,-0.0019031663795737602,1,0.0055248618784530384,0.0625722559817902,0.004517701026907664,0.01425540478107679,,,,0.0010127387088275817
Heldout,252,CC_Mid_Posterior,,,,,,362,8.0,0.9060267307218526,0.9057495688593249,0.00027716186252768615,0.8276361172702636,0.8276361172702636,0.0,0.8314917127071824,0.8314917127071824,0.0,0.8087774294670846,0.8087774294670846,0.0,0.0022052603719745715,5.401670932769775e-06,-0.00047196877106653724,2,0.0055248618784530384,0.05188670495770375,0.0037442665851918737,0.011826125987244574,,,,0.006779175007539435
Validation,252,CC_Mid_Posterior,,,,,,181,8.0,0.9307711258930772,0.9312638580931264,-0.0004927322000491952,0.8397388519339739,0.8336412909583641,0.0060975609756097615,0.8453038674033149,0.8397790055248618,0.0055248618784530246,0.8205128205128205,0.8129032258064516,0.007609594706368905,0.0021136901727285833,3.814697265625e-06,-0.00010670305780284313,1,0.0055248618784530384,0.05272368161288831,0.0038107499481533857,0.011858276425968876,,,,0.012081755084287838
Test,252,CC_Mid_Posterior,,,,,,181,8.0,0.8814363143631436,0.8808819906380883,0.0005543237250553723,0.8155333826065534,0.8216309435821632,-0.0060975609756097615,0.8176795580110497,0.8232044198895028,-0.0055248618784530246,0.7975460122699386,0.8048780487804879,-0.007332036510549256,0.00229683057122056,6.854534149169922e-06,-0.0008372344843302313,1,0.0055248618784530384,0.05104972830251919,0.003677783222230362,0.011793975548520273,,,,0.0009838627307418371
Heldout,253,CC_Central,,,,,,362,14.0,0.9060267307218526,0.9050566642030057,0.0009700665188469015,0.8276361172702636,0.8220620842572062,0.005574033013057478,0.8314917127071824,0.8259668508287292,0.005524861878453136,0.8087774294670846,0.8025078369905956,0.006269592476489061,0.0031989964126552667,8.724397048354149e-06,-0.0016631902174931534,4,0.011049723756906077,0.07181058603130508,0.005152655220159602,0.016355384419059885,,,,0.016000723540409857
Validation,253,CC_Central,,,,,,181,14.0,0.9307711258930772,0.9299088445429909,0.0008622813500862581,0.8397388519339739,0.8285907859078591,0.011148066026114845,0.8453038674033149,0.8342541436464088,0.011049723756906049,0.8205128205128205,0.8076923076923077,0.012820512820512775,0.002595897133652512,6.047077476978302e-06,-0.0018528388139086862,2,0.011049723756906077,0.06410367812000431,0.004598239361011366,0.014560487677049901,,,,0.02030945624655559
