"Gene symbol","Probe ID / feature ID","LocusLink","limma logFC AD vs CN","Average expression","Moderated t statistic","Raw P value","FDR-adjusted P value","B statistic","Rank by raw P value","Selected for 464-gene panel","Direction in AD"
"SLC18A2","11759609_at","LOC6571",0.178330003711972,5.64374503311258,3.00391683468636,0.00288990183524854,0.538150148810398,-1.74096535033472,264,TRUE,"Higher in AD"
"LILRB5","11740358_a_at","LOC10990",-0.0774473342584748,2.19687417218543,-3.00347150989548,0.00289400917659423,0.538150148810398,-1.74214025253637,265,TRUE,"Lower in AD"
"BACE2","11716345_a_at","LOC25825",-0.239374289923835,4.75698013245033,-3.00284816343086,0.00289976745070039,0.538150148810398,-1.74378455623873,266,TRUE,"Lower in AD"
"WLS","11718760_a_at","LOC79971",0.277013600068333,6.18686754966887,3.00180257788071,0.00290944983866635,0.538150148810398,-1.74654195229498,267,TRUE,"Higher in AD"
"CDS2","11721283_a_at","LOC8760",0.110704414703869,8.91622516556291,2.99377537463142,0.00298477730706893,0.547840428549418,-1.76768118052186,268,TRUE,"Higher in AD"
"PITHD1","11716907_s_at","LOC57095",-0.15731857611649,11.1769933774834,-2.99288345546264,0.00299325656447668,0.547840428549418,-1.77002673263569,269,TRUE,"Lower in AD"
"IL10","11734308_at","LOC3586",-0.076097774599706,2.43726490066225,-2.99268792564288,0.00299511836772249,0.547840428549418,-1.77054084579322,270,TRUE,"Lower in AD"
"MKNK1","11748830_a_at","LOC8569",0.118481430342104,4.7669238410596,2.99015246117141,0.00301935698917467,0.548490533051057,-1.77720457994072,271,TRUE,"Higher in AD"
"HBG2","11715494_s_at","LOC3048",-0.36468588642246,11.3028410596026,-2.98973464154683,0.00302336849073169,0.548490533051057,-1.77830219023852,272,TRUE,"Lower in AD"
"OSBPL8","11718643_a_at","LOC114882",0.105158254679318,9.74859602649007,2.98883826111321,0.00303199116192724,0.548490533051057,-1.78065649302338,273,TRUE,"Higher in AD"
"GCA","11747086_a_at","LOC25801",0.133097934040144,9.8697880794702,2.98610257613136,0.00305844647278164,0.550791196199539,-1.78783755820064,274,TRUE,"Higher in AD"
"MSL1","11757450_s_at","LOC339287",0.11701637836202,9.7717417218543,2.98475449300829,0.00307156071240072,0.550791196199539,-1.79137395794741,275,TRUE,"Higher in AD"
"AQP9","11725701_a_at","LOC366",0.216453416812924,7.01882450331126,2.98358252837411,0.00308300351529149,0.550791196199539,-1.79444713415726,276,TRUE,"Higher in AD"
"DCAF12","11718038_s_at","LOC25853",-0.214872696312527,10.7967814569536,-2.98293729660058,0.00308932007749711,0.550791196199539,-1.79613860619313,277,TRUE,"Lower in AD"
"PPM1K","11727871_at","LOC152926",-0.162913820638343,6.78875165562914,-2.98034783886481,0.00311478932180727,0.552713753400958,-1.80292340985156,278,TRUE,"Lower in AD"
"ACAP2","11718323_at","LOC23527",0.120901673304614,7.23413907284768,2.97850648138033,0.00313301733743815,0.552713753400958,-1.80774470982209,279,TRUE,"Higher in AD"
"RNF24","11740410_a_at","LOC11237",0.189350991540341,8.32957284768212,2.97843986742594,0.00313367859215705,0.552713753400958,-1.8079190754809,280,TRUE,"Higher in AD"
"SLC16A14","11725662_a_at","LOC151473",-0.148569187083643,2.30707947019868,-2.97504401869234,0.00316755795324454,0.55505763131102,-1.81680305370519,281,TRUE,"Lower in AD"
